Customer Key,WWI Customer ID,Customer,Bill To Customer,Buying Group,Primary Contact,Postal Code,Credit Limit
0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0.0
1,1,Tailspin Toys (Head Office),Tailspin Toys (Head Office),Tailspin Toys,Waldemar Fisar,90410.0,100000.0
2,2,"Tailspin Toys (Sylvanite, MT)",Tailspin Toys (Head Office),Tailspin Toys,Lorena Cindric,90216.0,100000.0
3,3,"Tailspin Toys (Peeples Valley, AZ)",Tailspin Toys (Head Office),Tailspin Toys,Bhaargav Rambhatla,90205.0,100000.0
4,4,"Tailspin Toys (Medicine Lodge, KS)",Tailspin Toys (Head Office),Tailspin Toys,Daniel Roman,90152.0,100000.0
5,5,"Tailspin Toys (Gasport, NY)",Tailspin Toys (Head Office),Tailspin Toys,Johanna Huiting,90261.0,100000.0
6,6,"Tailspin Toys (Jessie, ND)",Tailspin Toys (Head Office),Tailspin Toys,Biswajeet Thakur,90298.0,5000.0
7,7,"Tailspin Toys (Frankewing, TN)",Tailspin Toys (Head Office),Tailspin Toys,Kalidas Nadar,90761.0,100000.0
8,8,"Tailspin Toys (Bow Mar, CO)",Tailspin Toys (Head Office),Tailspin Toys,Kanti Kotadia,90484.0,100000.0
9,9,"Tailspin Toys (Netcong, NJ)",Tailspin Toys (Head Office),Tailspin Toys,Sointu Aalto,90129.0,100000.0
10,10,"Tailspin Toys (Wimbledon, ND)",Tailspin Toys (Head Office),Tailspin Toys,Siddhartha Parkar,90061.0,100000.0
11,11,"Tailspin Toys (Devault, PA)",Tailspin Toys (Head Office),Tailspin Toys,Elnaz Javan,90185.0,100000.0
12,12,"Tailspin Toys (Biscay, MN)",Tailspin Toys (Head Office),Tailspin Toys,Heloisa Fernandes,90054.0,100000.0
13,13,"Tailspin Toys (Stonefort, IL)",Tailspin Toys (Head Office),Tailspin Toys,Razeena Hosseini,90685.0,100000.0
14,14,"Tailspin Toys (Long Meadow, MD)",Tailspin Toys (Head Office),Tailspin Toys,Tereza Valentova,90633.0,100000.0
15,15,"Tailspin Toys (Batson, TX)",Tailspin Toys (Head Office),Tailspin Toys,Filips Jaunzems,90631.0,100000.0
16,16,"Tailspin Toys (Coney Island, MO)",Tailspin Toys (Head Office),Tailspin Toys,Nitin Matondkar,90467.0,100000.0
17,17,"Tailspin Toys (East Fultonham, OH)",Tailspin Toys (Head Office),Tailspin Toys,Adam Kubat,90416.0,3320.0
18,18,"Tailspin Toys (Goffstown, NH)",Tailspin Toys (Head Office),Tailspin Toys,Isabelle Vodlan,90321.0,100000.0
19,19,"Tailspin Toys (Lemeta, AK)",Tailspin Toys (Head Office),Tailspin Toys,Mithun Bhattacharya,90303.0,100000.0
20,20,"Tailspin Toys (College Place, WA)",Tailspin Toys (Head Office),Tailspin Toys,Nghi Hua,90050.0,100000.0
21,21,"Tailspin Toys (Tresckow, PA)",Tailspin Toys (Head Office),Tailspin Toys,Duleep Raju,90790.0,100000.0
22,22,"Tailspin Toys (Ward Ridge, FL)",Tailspin Toys (Head Office),Tailspin Toys,Cristina Longo,90784.0,100000.0
23,23,"Tailspin Toys (Ikatan, AK)",Tailspin Toys (Head Office),Tailspin Toys,Hang Tang,90019.0,100000.0
24,24,"Tailspin Toys (Dundarrach, NC)",Tailspin Toys (Head Office),Tailspin Toys,Intira Mookjai,90758.0,100000.0
25,25,"Tailspin Toys (Avenal, CA)",Tailspin Toys (Head Office),Tailspin Toys,Sulabha Khalsa,90352.0,100000.0
26,26,"Tailspin Toys (Hedrick, IA)",Tailspin Toys (Head Office),Tailspin Toys,Dhanishta Majji,90331.0,100000.0
27,27,"Tailspin Toys (Bowlus, MN)",Tailspin Toys (Head Office),Tailspin Toys,Paula Gonzales,90703.0,100000.0
28,28,"Tailspin Toys (North Ridge, NY)",Tailspin Toys (Head Office),Tailspin Toys,Tatjana Utjesenovic,90024.0,100000.0
29,29,"Tailspin Toys (Eulaton, AL)",Tailspin Toys (Head Office),Tailspin Toys,Karel Hanak,90571.0,100000.0
30,30,"Tailspin Toys (Koontzville, WA)",Tailspin Toys (Head Office),Tailspin Toys,Odessa Schneider,90288.0,100000.0
31,31,"Tailspin Toys (Lake Stevens, WA)",Tailspin Toys (Head Office),Tailspin Toys,Kimberly Pace,90394.0,100000.0
32,32,"Tailspin Toys (Maypearl, TX)",Tailspin Toys (Head Office),Tailspin Toys,Nikolajs Kalejs,90087.0,100000.0
33,33,"Tailspin Toys (Boyden Arbor, SC)",Tailspin Toys (Head Office),Tailspin Toys,Haasini Rai,90497.0,100000.0
34,34,"Tailspin Toys (Dallardsville, TX)",Tailspin Toys (Head Office),Tailspin Toys,Anjali Asthana,90041.0,100000.0
35,35,"Tailspin Toys (Slanesville, WV)",Tailspin Toys (Head Office),Tailspin Toys,Shah Omidi,90601.0,100000.0
36,36,"Tailspin Toys (Ekron, KY)",Tailspin Toys (Head Office),Tailspin Toys,Ferhat Celik,90603.0,100000.0
37,37,"Tailspin Toys (Kerby, OR)",Tailspin Toys (Head Office),Tailspin Toys,Dayarama Kamei,90686.0,100000.0
38,38,"Tailspin Toys (Airport Drive, MO)",Tailspin Toys (Head Office),Tailspin Toys,Nils Kalnins,90211.0,100000.0
39,39,"Tailspin Toys (Diablock, KY)",Tailspin Toys (Head Office),Tailspin Toys,Ashish Acharya,90158.0,100000.0
40,40,"Tailspin Toys (Impact, TX)",Tailspin Toys (Head Office),Tailspin Toys,Alena Prikrylova,90326.0,100000.0
