Employee Key,WWI Employee ID,Employee,Preferred Name,Is Salesperson
0,0,Unknown,Unknown,0
1,14,Lily Code,Lily,1
2,4,Isabella Rupp,Isabella,0
3,11,Ethan Onslow,Ethan,0
4,7,Amy Trefl,Amy,1
5,19,Jai Shand,Jai,0
6,8,Anthony Grosse,Anthony,1
7,15,Taj Shand,Taj,1
8,13,Hudson Hollinworth,Hudson,1
9,20,Jack Potter,Jack,1
10,17,Piper Koch,Piper,0
11,3,Hudson Onslow,Hudson,1
12,6,Sophia Hinton,Sophia,1
13,12,Henry Forlonge,Henry,0
14,10,Stella Rosenhain,Stella,0
15,2,Kayla Woodcock,Kayla,1
16,18,Katie Darwin,Katie,0
17,9,Alica Fatnowna,Alica,0
18,5,Eva Muirden,Eva,0
19,16,Archer Lamble,Archer,1
20,4,Isabella Rupp,Isabella,0
21,14,Lily Code,Lily,1
22,11,Ethan Onslow,Ethan,0
23,7,Amy Trefl,Amy,1
24,19,Jai Shand,Jai,0
25,8,Anthony Grosse,Anthony,1
26,15,Taj Shand,Taj,1
27,13,Hudson Hollinworth,Hudson,1
28,20,Jack Potter,Jack,1
29,15,Taj Shand,Taj,1
30,13,Hudson Hollinworth,Hudson,1
31,14,Lily Code,Lily,1
32,17,Piper Koch,Piper,0
33,19,Jai Shand,Jai,0
34,11,Ethan Onslow,Ethan,0
35,7,Amy Trefl,Amy,1
36,15,Taj Shand,Taj,1
37,11,Ethan Onslow,Ethan,0
38,3,Hudson Onslow,Hudson,1
39,20,Jack Potter,Jack,1
40,13,Hudson Hollinworth,Hudson,1
41,6,Sophia Hinton,Sophia,1
42,12,Henry Forlonge,Henry,0
43,10,Stella Rosenhain,Stella,0
44,19,Jai Shand,Jai,0
45,14,Lily Code,Lily,1
46,8,Anthony Grosse,Anthony,1
47,8,Anthony Grosse,Anthony,1
48,14,Lily Code,Lily,1
49,3,Hudson Onslow,Hudson,1
50,7,Amy Trefl,Amy,1
51,7,Amy Trefl,Amy,1
52,6,Sophia Hinton,Sophia,1
53,19,Jai Shand,Jai,0
54,2,Kayla Woodcock,Kayla,1
55,4,Isabella Rupp,Isabella,0
56,14,Lily Code,Lily,1
57,8,Anthony Grosse,Anthony,1
58,14,Lily Code,Lily,1
59,17,Piper Koch,Piper,0
60,19,Jai Shand,Jai,0
61,14,Lily Code,Lily,1
62,8,Anthony Grosse,Anthony,1
63,2,Kayla Woodcock,Kayla,1
64,19,Jai Shand,Jai,0
65,7,Amy Trefl,Amy,1
66,10,Stella Rosenhain,Stella,0
67,11,Ethan Onslow,Ethan,0
68,13,Hudson Hollinworth,Hudson,1
69,19,Jai Shand,Jai,0
70,6,Sophia Hinton,Sophia,1
71,12,Henry Forlonge,Henry,0
72,14,Lily Code,Lily,1
73,10,Stella Rosenhain,Stella,0
74,15,Taj Shand,Taj,1
75,17,Piper Koch,Piper,0
76,14,Lily Code,Lily,1
77,13,Hudson Hollinworth,Hudson,1
78,7,Amy Trefl,Amy,1
79,11,Ethan Onslow,Ethan,0
80,3,Hudson Onslow,Hudson,1
81,2,Kayla Woodcock,Kayla,1
82,18,Katie Darwin,Katie,0
83,7,Amy Trefl,Amy,1
84,8,Anthony Grosse,Anthony,1
85,13,Hudson Hollinworth,Hudson,1
86,14,Lily Code,Lily,1
87,11,Ethan Onslow,Ethan,0
88,4,Isabella Rupp,Isabella,0
89,6,Sophia Hinton,Sophia,1
90,13,Hudson Hollinworth,Hudson,1
91,3,Hudson Onslow,Hudson,1
92,9,Alica Fatnowna,Alica,0
93,6,Sophia Hinton,Sophia,1
94,8,Anthony Grosse,Anthony,1
95,8,Anthony Grosse,Anthony,1
96,15,Taj Shand,Taj,1
97,15,Taj Shand,Taj,1
98,10,Stella Rosenhain,Stella,0
99,17,Piper Koch,Piper,0
100,10,Stella Rosenhain,Stella,0
101,3,Hudson Onslow,Hudson,1
102,20,Jack Potter,Jack,1
103,7,Amy Trefl,Amy,1
104,19,Jai Shand,Jai,0
105,3,Hudson Onslow,Hudson,1
106,8,Anthony Grosse,Anthony,1
107,15,Taj Shand,Taj,1
108,7,Amy Trefl,Amy,1
109,17,Piper Koch,Piper,0
110,10,Stella Rosenhain,Stella,0
111,19,Jai Shand,Jai,0
112,9,Alica Fatnowna,Alica,0
113,12,Henry Forlonge,Henry,0
114,19,Jai Shand,Jai,0
115,15,Taj Shand,Taj,1
116,2,Kayla Woodcock,Kayla,1
117,18,Katie Darwin,Katie,0
118,15,Taj Shand,Taj,1
119,8,Anthony Grosse,Anthony,1
120,10,Stella Rosenhain,Stella,0
121,9,Alica Fatnowna,Alica,0
122,14,Lily Code,Lily,1
123,10,Stella Rosenhain,Stella,0
124,18,Katie Darwin,Katie,0
125,4,Isabella Rupp,Isabella,0
126,14,Lily Code,Lily,1
127,6,Sophia Hinton,Sophia,1
128,9,Alica Fatnowna,Alica,0
129,15,Taj Shand,Taj,1
130,13,Hudson Hollinworth,Hudson,1
131,19,Jai Shand,Jai,0
132,12,Henry Forlonge,Henry,0
133,4,Isabella Rupp,Isabella,0
134,13,Hudson Hollinworth,Hudson,1
135,9,Alica Fatnowna,Alica,0
136,20,Jack Potter,Jack,1
137,19,Jai Shand,Jai,0
138,20,Jack Potter,Jack,1
139,9,Alica Fatnowna,Alica,0
140,14,Lily Code,Lily,1
141,19,Jai Shand,Jai,0
142,4,Isabella Rupp,Isabella,0
143,2,Kayla Woodcock,Kayla,1
144,20,Jack Potter,Jack,1
145,3,Hudson Onslow,Hudson,1
146,17,Piper Koch,Piper,0
147,17,Piper Koch,Piper,0
148,11,Ethan Onslow,Ethan,0
149,20,Jack Potter,Jack,1
150,20,Jack Potter,Jack,1
151,13,Hudson Hollinworth,Hudson,1
152,14,Lily Code,Lily,1
153,11,Ethan Onslow,Ethan,0
154,6,Sophia Hinton,Sophia,1
155,7,Amy Trefl,Amy,1
156,3,Hudson Onslow,Hudson,1
157,19,Jai Shand,Jai,0
158,8,Anthony Grosse,Anthony,1
159,11,Ethan Onslow,Ethan,0
160,11,Ethan Onslow,Ethan,0
161,6,Sophia Hinton,Sophia,1
162,3,Hudson Onslow,Hudson,1
163,3,Hudson Onslow,Hudson,1
164,11,Ethan Onslow,Ethan,0
165,15,Taj Shand,Taj,1
166,11,Ethan Onslow,Ethan,0
167,13,Hudson Hollinworth,Hudson,1
168,20,Jack Potter,Jack,1
169,9,Alica Fatnowna,Alica,0
170,7,Amy Trefl,Amy,1
171,2,Kayla Woodcock,Kayla,1
172,13,Hudson Hollinworth,Hudson,1
173,10,Stella Rosenhain,Stella,0
174,14,Lily Code,Lily,1
175,20,Jack Potter,Jack,1
176,19,Jai Shand,Jai,0
177,18,Katie Darwin,Katie,0
178,17,Piper Koch,Piper,0
179,16,Archer Lamble,Archer,1
180,15,Taj Shand,Taj,1
181,14,Lily Code,Lily,1
182,13,Hudson Hollinworth,Hudson,1
183,12,Henry Forlonge,Henry,0
184,11,Ethan Onslow,Ethan,0
185,10,Stella Rosenhain,Stella,0
186,9,Alica Fatnowna,Alica,0
187,8,Anthony Grosse,Anthony,1
188,7,Amy Trefl,Amy,1
189,6,Sophia Hinton,Sophia,1
190,5,Eva Muirden,Eva,0
191,4,Isabella Rupp,Isabella,0
192,3,Hudson Onslow,Hudson,1
193,2,Kayla Woodcock,Kayla,1
194,2,Kayla Woodcock,Kayla,1
195,3,Hudson Onslow,Hudson,1
196,4,Isabella Rupp,Isabella,0
197,5,Eva Muirden,Eva,0
198,6,Sophia Hinton,Sophia,1
199,7,Amy Trefl,Amy,1
200,8,Anthony Grosse,Anthony,1
201,9,Alica Fatnowna,Alica,0
202,10,Stella Rosenhain,Stella,0
203,11,Ethan Onslow,Ethan,0
204,12,Henry Forlonge,Henry,0
205,13,Hudson Hollinworth,Hudson,1
206,14,Lily Code,Lily,1
207,15,Taj Shand,Taj,1
208,16,Archer Lamble,Archer,1
209,17,Piper Koch,Piper,0
210,18,Katie Darwin,Katie,0
211,19,Jai Shand,Jai,0
